X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0047531108868,38.9181658000392,30217974,38.918155,-77.004746,Rhode Island Ave & V St NE,classic,250,active,2022/04/16 04:32:41+00,9,0,10,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0139153097856,38.8922840731312,30217975,38.892275,-77.013917,Constitution Ave & 2nd St NW/DOL,classic,251,active,2022/04/15 23:26:46+00,17,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,27,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0137759634374,38.8869871639939,30217976,38.886978,-77.013769,Washington & Independence Ave SW/HHS,classic,252,active,2022/04/15 20:29:08+00,26,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0257632196505,38.8873184449594,30217977,38.887312,-77.025762,Independence Ave & L'Enfant Plaza SW/DOE,classic,253,active,2022/04/16 04:39:43+00,9,0,5,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9971998531366,38.9275074939582,30217978,38.927497,-76.997194,Hamlin & 7th St NE,classic,254,active,2022/04/16 00:22:13+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0866026709251,38.8624890436952,30217979,38.862478,-77.086599,Columbia Pike & S Walter Reed Dr,classic,255,active,2022/04/15 20:31:59+00,10,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",41,2022/04/16 06:30:46+00,,"Arlington, VA"
-77.111526955258,38.8563241471585,30217980,38.856319,-77.11153,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,classic,256,active,2022/04/15 22:56:17+00,0,0,15,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2022/04/16 06:30:46+00,,"Arlington, VA"
-77.1079097156422,38.8718310420981,30217981,38.871822,-77.107906,Pershing Dr & N George Mason Dr,classic,257,active,2022/04/15 22:33:42+00,5,0,6,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2022/04/16 06:30:46+00,,"Arlington, VA"
-77.0230863185261,38.9854103725016,30217982,38.985404,-77.023082,Fenton St & New York Ave ,classic,258,active,2022/04/15 23:27:28+00,12,1,2,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",44,2022/04/16 06:30:46+00,,"Montgomery County, MD (South)"
-77.0974225751283,38.9811111883525,30217983,38.981103,-77.097426,Bethesda Ave & Arlington Rd,classic,259,active,2022/04/15 19:30:43+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2022/04/16 06:30:46+00,,"Montgomery County, MD (South)"
