station,lat,lon,nearest_station,dis_from_nearest_station,capacity,station_number
Lynn & 19th St North,38.89727946,-77.07077169,Lynn St & 19th St North,0.0196108065300482,27.0,31014
Connecticut Ave & Newark St NW / Cleveland Park,38.93423558,-77.05766285,Connecticut Ave & Macomb St NW / Cleveland Park,0.0675099472224687,11.0,31305
21st & M St NW,38.90583708,-77.04665752,New Hampshire Ave & Ward Pl NW,0.0587030868755442,19.0,31212
Columbia Pike & S Taylor St,38.85831071,-77.10361375,Columbia Pike & George Mason Dr,0.1770732546324174,15.0,31923
East Falls Church Metro/Sycamore St & 19th St N,38.88474688,-77.15595242,East Falls Church Metro / Sycamore St & 19th St N,0.0764454718192303,19.0,31904
Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.88447039,-76.99580981,Eastern Market Metro / Pennsylvania Ave & 8th St SE,0.0645117514089939,19.0,31613
Braddock Rd Metro,38.81417889,-77.05365818,Braddock Rd Metro South,0.077500598209108,19.0,31047
28th St S & S Meade St,38.84639966,-77.06936849,28th St & S Meade St,0.0202000282143443,15.0,31055
Madison & N Henry St,38.81380287,-77.04952602,Madison St & N Henry St,0.034533990481844,15.0,31099
Georgia Ave and Fairmont St NW,38.92498959,-77.02256908,Georgia Ave & Fairmont St NW,0.0329501213774982,15.0,31207
31st & Water St NW,38.9053816,-77.06160233,C & O Canal & Wisconsin Ave NW,0.2042525490031245,23.0,31293
Ballston Metro / N Stuart & 9th St N,38.88125276,-77.11174654,Ballston Metro / Stuart St & 9th St N,0.022439634415128,23.0,31037
15th & Euclid St  NW,38.92358024,-77.03527798,15th & Euclid St NW,0.0275568929460792,15.0,31117
Lee Hwy & N Woodstock St,38.89703351,-77.11852623,Langston Blvd & N Woodstock St,0.1482782851418254,19.0,31900
Court House Metro / 15th & N Uhle St ,38.8909338,-77.08469285,Court House Metro / 15th St & N Uhle St,0.0358107973367972,21.0,31089
Iwo Jima Memorial/N Meade & 14th St N,38.89058677,-77.06963546,Iwo Jima Memorial / Meade & 14th St N,0.1619537546379853,19.0,31077
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.89473112,-77.07209903,Wilson Blvd & Ft Myer Dr,0.0224750518420767,19.0,31015
Central Library / N Quincy St & 10th St N,38.88406309,-77.10748994,Central Library / Quincy St & 10th St N,0.0315239284207609,11.0,31025
21st St N & N Pierce St,38.8995772,-77.07716437,21st St & N Pierce St,0.1198323788226303,15.0,31093
Potomac & Swann Ave,38.82985171,-77.04800499,Potomac Ave & Swann Ave,0.0364149802575539,19.0,31916
Wilson Blvd & Franklin Rd,38.89064503,-77.08868136,Wilson Blvd & N Franklin Rd,0.0331458279596973,12.0,31020
Commonwealth & E Monroe Ave,38.8202573,-77.06299071,Commonwealth Ave & E Monroe Ave,0.0260475102803594,15.0,31913
Pershing & N George Mason Dr,38.87193693,-77.10808695,Pershing Dr & N George Mason Dr,0.0193403718804938,11.0,31069
N Randolph St & Fairfax Dr,38.88250224,-77.10937442,Fairfax Dr & N Randolph St,0.0153070803627911,15.0,31034
N Veitch & Key Blvd,38.8935048,-77.0861091,N Veitch St & Key Blvd,0.0292522653018481,11.0,31028
11th & H St NE,38.90039365,-76.99151514,10th & H St NE,0.1138967369777,19.0,31614
15th & N Scott St,38.89073203,-77.08097145,15th St & N Scott St,0.0208225498316012,15.0,31031
1st & N St  SE,38.87430232,-77.00583721,1st & N St SE,0.0220991249577511,39.0,31209
Bethesda Metro,38.98435431,-77.09411472,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,0.0532116183915169,12.0,32048
Grand Park & Rose Ave,39.05105786,-77.11746497,Rockville Pike & Old Georgetown Rd,0.3567509678922252,15.0,32083
S Joyce & 16th St S,38.85871433,-77.06330146,Joyce St & 16th St S,0.0608159749968561,15.0,31091
19th & L St NW,38.90389685,-77.04350061,18th & L St NW,0.0923564777705576,19.0,31224
S Four Mile Run & Walter Reed Dr,38.84709603,-77.09524245,Four Mile Run Dr & S Walter Reed Dr,0.0341923649894386,11.0,31059
Saint Asaph St & Pendleton  St,38.81076996,-77.04456462,St Asaph & Pendleton St,0.0060609566640862,15.0,31043
Saint Asaph & Madison St,38.81301192,-77.04409015,Saint Asaph St & Madison St,0.0321305172830623,15.0,31097
Franklin & S Washington St,38.79832971,-77.04847241,Franklin St & S Washington St,0.0289896777758629,19.0,31907
N Veitch  & 20th St N,38.89700266,-77.08640559,N Veitch St & 20th St N,0.012010611250334,15.0,31029
Madison & Fairfax St,38.81263026,-77.04086572,Madison St & Fairfax St,0.0340744031931056,15.0,31918
Lee Hwy & N Scott St,38.89755391,-77.08050532,Langston Blvd & N Scott St,0.0313439182800404,15.0,31080
Shirlington Transit Center / S Quincy & Randolph St,38.83960822,-77.087373,S Randolph St & Campbell Ave,0.1616307821363695,15.0,31076
New Jersey Ave & L St NW,38.90390269,-77.01416577,New Jersey Ave & K St NW,0.2292337317781542,23.0,31642
N Rhodes & 16th St N,38.89200362,-77.07904252,Rhodes St & 16th St N,0.0342068729104437,12.0,31018
S Joyce & Army Navy Dr,38.86607906,-77.06272845,Army Navy Dr & S Joyce St,0.3121916946375062,16.0,31006
S Four Mile Run Dr & S Shirlington Rd,38.84447527,-77.0855859,Four Mile Run Dr & S Shirlington Rd,0.0311585297418646,11.0,31057
Lee Hwy & N Adams St,38.89547836,-77.08883488,Langston Blvd & N Adams St,0.0529461081203378,19.0,31030
Lee Hwy & N Kirkwood Rd,38.89593986,-77.09614122,Langston Blvd & N Kirkwood St,0.105453462459975,15.0,31094
Royal & Wilkes St,38.79987638,-77.04456181,Royal St & Wilkes St,0.0681825712554335,15.0,31903
Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,38.9610894,-77.08617433,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,0.0772754427312345,19.0,32014
Lee Hwy & N Cleveland St,38.89490341,-77.09129671,Langston Blvd & N Cleveland St,0.0345444942488543,15.0,31079
15th St & Pennsylvania Ave NW/Pershing Park,38.89612366,-77.03271989,15th St & Pennsylvania Ave NW,0.0692867635136265,19.0,31129
Utah St & 11th St N ,38.88387123,-77.11388008,Utah St & 11th St N,0.021370451273952,11.0,31049
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,38.85643457,-77.11212384,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,0.053122607850595,15.0,31068
12th & Army Navy Dr,38.86306608,-77.05187478,Eads St & 12th St S,0.2112772445655238,17.0,31008
S Walter Reed Dr & 8th St S,38.86578938,-77.08767285,Walter Reed Dr & 8th St S,0.0414556489880568,15.0,31096
McKinley St & Connecticut Ave NW,38.96500662,-77.07555168,Connecticut Ave & McKinley St NW,0.0616879084665664,19.0,31315
Crystal Dr & Potomac Ave,38.8485242,-77.05153298,Crystal Dr & 27th St S,0.005637091785159,12.0,31925
Aurora Hills Community Ctr/18th & Hayes St,38.8577832,-77.05925892,Aurora Hills Cmty Ctr / 18th St & S Hayes St,0.0222834163931752,12.0,31004
Union Market/6th St & Neal Pl NE,38.90866984,-76.99738528,Union Market,0.0882219977970466,23.0,31517
Eads & 22nd St S,38.85436047,-77.05345403,Eads St & 22nd St S,0.0050283118495598,15.0,31013
Crystal City Metro / 18th & Bell St,38.85791038,-77.05172988,Crystal City Metro / 18th St & S Bell St,0.013731237561205,19.0,31007
Virginia Square Metro / N Monroe St & 9th St N,38.88273088,-77.1029333,Virginia Square Metro / Monroe St & 9th St N,0.0205949934259813,19.0,31024
Washington-Lee High School / N Stafford St & Generals Way,38.88835683,-77.11042214,Washington-Liberty High School / N Stafford St & Generals Way,0.0565962809247375,15.0,31920
